title,description,endDate,yesPrice,noPrice
"Top USA Artist on Spotify on Apr 27, 2025?","If Billie Eilish is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If Bad Bunny is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If Taylor Swift is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.14,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If Morgan Wallen is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If Kendrick Lamar is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If Drake is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.95,1.0
"Will the high temp in Chicago be >72° on Apr 27, 2025?","If the highest temperature recorded at Chicago Midway, IL for April 27, 2025, is greater than 72° according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.",2025-05-04T14:00:00Z,0.11,0.99
"Will the high temp in Chicago be 71-72° on Apr 27, 2025?","If the highest temperature recorded at Chicago Midway, IL for April 27, 2025, is between 71-72° according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.",2025-05-04T14:00:00Z,0.14,0.91
"Will the high temp in Chicago be 69-70° on Apr 27, 2025?","If the highest temperature recorded at Chicago Midway, IL for April 27, 2025, is between 69-70° according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.",2025-05-04T14:00:00Z,0.27,0.79
"Will the high temp in Chicago be 67-68° on Apr 27, 2025?","If the highest temperature recorded at Chicago Midway, IL for April 27, 2025, is between 67-68° according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.",2025-05-04T14:00:00Z,0.34,0.71
"Will the high temp in Chicago be 65-66° on Apr 27, 2025?","If the highest temperature recorded at Chicago Midway, IL for April 27, 2025, is between 65-66° according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.",2025-05-04T14:00:00Z,0.21,0.83
"Will the high temp in Chicago be <65° on Apr 27, 2025?","If the highest temperature recorded at Chicago Midway, IL for April 27, 2025, is less than 65° according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.",2025-05-04T14:00:00Z,0.12,0.92
"Will the **high temp in Philadelphia** be >69° on Apr 27, 2025?","If the highest temperature recorded at Philadelphia International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is greater than 69°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.27,0.78
"Will the **high temp in Philadelphia** be 68-69° on Apr 27, 2025?","If the highest temperature recorded at Philadelphia International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 68-69°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.31,0.73
"Will the **high temp in Philadelphia** be 66-67° on Apr 27, 2025?","If the highest temperature recorded at Philadelphia International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 66-67°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.31,0.74
"Will the **high temp in Philadelphia** be 64-65° on Apr 27, 2025?","If the highest temperature recorded at Philadelphia International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 64-65°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.17,0.88
"Will the **high temp in Philadelphia** be 62-63° on Apr 27, 2025?","If the highest temperature recorded at Philadelphia International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 62-63°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.16,0.99
"Will the **high temp in Philadelphia** be <62° on Apr 27, 2025?","If the highest temperature recorded at Philadelphia International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is less than 62°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.11,0.99
"Will the **high temp in LA** be >65° on Apr 27, 2025?","If the highest temperature recorded in Los Angeles Airport, CA for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is greater than 65°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.17,0.87
"Will the **high temp in LA** be 64-65° on Apr 27, 2025?","If the highest temperature recorded in Los Angeles Airport, CA for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 64-65°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.33,0.72
"Will the **high temp in LA** be 62-63° on Apr 27, 2025?","If the highest temperature recorded in Los Angeles Airport, CA for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 62-63°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.37,0.67
"Will the **high temp in LA** be 60-61° on Apr 27, 2025?","If the highest temperature recorded in Los Angeles Airport, CA for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 60-61°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.19,0.86
"Will the **high temp in LA** be 58-59° on Apr 27, 2025?","If the highest temperature recorded in Los Angeles Airport, CA for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 58-59°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.07,1.0
"Will the **high temp in LA** be <58° on Apr 27, 2025?","If the highest temperature recorded in Los Angeles Airport, CA for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is less than 58°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.06,1.0
"Will the **high temp in Miami** be >87° on Apr 27, 2025?","If the highest temperature recorded at Miami International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is greater than 87°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.09,0.98
"Will the **high temp in Miami** be 86-87° on Apr 27, 2025?","If the highest temperature recorded at Miami International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 86-87°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.41,0.67
"Will the **high temp in Miami** be 84-85° on Apr 27, 2025?","If the highest temperature recorded at Miami International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 84-85°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.63,0.46
"Will the **high temp in Miami** be 82-83° on Apr 27, 2025?","If the highest temperature recorded at Miami International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 82-83°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.12,0.96
"Will the **high temp in Miami** be 80-81° on Apr 27, 2025?","If the highest temperature recorded at Miami International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 80-81°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.03,1.0
"Will the **high temp in Miami** be <80° on Apr 27, 2025?","If the highest temperature recorded at Miami International Airport for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is less than 80°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.01,1.0
"Will the **high temp in Denver** be >82° on Apr 27, 2025?","If the highest temperature recorded in Denver, CO for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is greater than 82°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.21,0.82
"Will the **high temp in Denver** be 81-82° on Apr 27, 2025?","If the highest temperature recorded in Denver, CO for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 81-82°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.42,0.63
"Will the **high temp in Denver** be <75° on Apr 27, 2025?","If the highest temperature recorded in Denver, CO for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is less than 75°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.1,1.0
"Will the **high temp in Denver** be 79-80° on Apr 27, 2025?","If the highest temperature recorded in Denver, CO for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 79-80°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.35,0.71
"Will the **high temp in Denver** be 77-78° on Apr 27, 2025?","If the highest temperature recorded in Denver, CO for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 77-78°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.09,0.96
"Will the **high temp in Denver** be 75-76° on Apr 27, 2025?","If the highest temperature recorded in Denver, CO for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 75-76°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.1,1.0
"Will the **high temp in Austin** be >94° on Apr 27, 2025?","If the highest temperature recorded in Austin Bergstrom for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is greater than 94°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.08,1.0
"Will the **high temp in Austin** be <87° on Apr 27, 2025?","If the highest temperature recorded in Austin Bergstrom for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is less than 87°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.18,0.87
"Will the **high temp in Austin** be 93-94° on Apr 27, 2025?","If the highest temperature recorded in Austin Bergstrom for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 93-94°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.12,0.98
"Will the **high temp in Austin** be 91-92° on Apr 27, 2025?","If the highest temperature recorded in Austin Bergstrom for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 91-92°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.18,0.85
"Will the **high temp in Austin** be 89-90° on Apr 27, 2025?","If the highest temperature recorded in Austin Bergstrom for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 89-90°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.33,0.71
"Will the **high temp in Austin** be 87-88° on Apr 27, 2025?","If the highest temperature recorded in Austin Bergstrom for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 87-88°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.35,0.69
"Will the **high temp in NYC** be >63° on Apr 27, 2025?","If the highest temperature recorded in Central Park, New York for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is greater than 63°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.17,0.85
"Will the **high temp in NYC** be 62-63° on Apr 27, 2025?","If the highest temperature recorded in Central Park, New York for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 62-63°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.27,0.77
"Will the **high temp in NYC** be 60-61° on Apr 27, 2025?","If the highest temperature recorded in Central Park, New York for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 60-61°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.34,0.68
"Will the **high temp in NYC** be 58-59° on Apr 27, 2025?","If the highest temperature recorded in Central Park, New York for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 58-59°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.22,0.83
"Will the **high temp in NYC** be 56-57° on Apr 27, 2025?","If the highest temperature recorded in Central Park, New York for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 56-57°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.09,0.93
"Will the **high temp in NYC** be <56° on Apr 27, 2025?","If the highest temperature recorded in Central Park, New York for April 27, 2025 as reported by the National Weather Service's Climatological Report (Daily), is less than 56°, then the market resolves to Yes.",2025-05-04T14:00:00Z,0.09,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is above 103749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 103250-103749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 99250-99749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.07,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 98750-99249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 98250-98749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.09,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 97750-98249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.13,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 97250-97749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.1,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 96750-97249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.1,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 96250-96749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.2,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 95750-96249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.13,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 95250-95749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.2,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 94750-95249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.22,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 102750-103249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.07,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 102250-102749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 101750-102249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 101250-101749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 100750-101249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.07,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 100250-100749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 99750-100249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.09,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 94250-94749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.28,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 93750-94249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.28,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 93250-93749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.22,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 92750-93249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.2,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 92250-92749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.13,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 91750-92249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.2,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 91250-91749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.12,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 90750-91249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.1,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 90250-90749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.09,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 89750-90249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.1,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 89250-89749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.09,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 88750-89249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 88250-88749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 87750-88249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.07,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 87250-87749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 86750-87249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.07,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 86250-86749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is below 84750 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 85750-86249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 85250-85749.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Bitcoin price range  on Apr 27, 2025?","If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EDT is between 84750-85249.99 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.06,1.0
"Shiba Inu price range  on Apr 27, 2025?","If the simple average of the 60 seconds of CF Benchmarks' Shiba Inu-Dollar Spot Rate (SHIBUSD_RTI) before 5 PM EDT is above 0.000023499 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.08,1.0
"Shiba Inu price range  on Apr 27, 2025?","If the simple average of the 60 seconds of CF Benchmarks' Shiba Inu-Dollar Spot Rate (SHIBUSD_RTI) before 5 PM EDT is between 0.000023000-0.000023499 at 5 PM EDT on Apr 27, 2025, then the market resolves to Yes.",2025-05-04T21:00:00Z,0.08,1.0
